seq;timestamp_ms;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
329;3280;-5.332343;2.454653;8.579741;0.138252;-0.559534;-0.435049
330;3290;-5.042015;2.314264;8.344219;-0.055653;-0.633713;-0.414401
331;3300;-4.740725;1.820527;8.020127;-0.133681;-0.640119;-0.394284
332;3310;-4.981998;1.148551;8.083776;-0.064582;-0.638634;-0.416428
333;3320;-5.199329;0.881739;8.367132;0.052456;-0.701228;-0.640922
334;3330;-4.581518;1.018721;8.370773;0.143989;-0.774546;-0.739040
335;3340;-4.233658;1.001073;8.058749;0.271398;-0.774828;-0.665046
336;3350;-4.270205;1.331761;7.922435;0.382776;-0.706732;-0.621858
337;3360;-4.559650;1.795601;7.926172;0.386201;-0.667143;-0.648979
338;3370;-4.226713;1.941587;7.619649;0.330962;-0.609357;-0.656359
339;3380;-4.331730;2.004323;7.554393;0.305234;-0.537859;-0.635020
340;3390;-4.797160;2.313342;7.758365;0.211133;-0.534596;-0.672827
341;3400;-4.581568;2.259519;7.779592;0.066135;-0.550364;-0.743392
342;3410;-4.705756;1.932791;7.930711;0.001339;-0.561752;-0.792823
343;3420;-4.192844;1.872002;7.876506;-0.021709;-0.554810;-0.839889
344;3430;-3.725386;1.672032;7.814009;0.048949;-0.477545;-0.727189
345;3440;-4.064346;1.532669;7.922010;0.173354;-0.369589;-0.664040
346;3450;-4.023016;1.846989;8.099008;0.247439;-0.254883;-0.662603
347;3460;-4.833674;2.746230;8.642064;0.135233;-0.234300;-0.631350
348;3470;-4.929669;3.078008;8.656776;-0.196475;-0.325498;-0.622974
349;3480;-4.496833;2.609312;8.487070;-0.469301;-0.378765;-0.535815
350;3490;-4.951193;1.982181;8.521246;-0.620962;-0.396144;-0.570738
351;3500;-4.059190;1.745401;8.433645;-0.688339;-0.355408;-0.660277
352;3510;-3.765129;1.882605;8.640821;-0.683727;-0.263382;-0.506048
353;3520;-4.428325;1.644651;8.848398;-0.717416;-0.221795;-0.405038
354;3530;-4.220312;1.257493;9.007105;-0.728762;-0.189066;-0.398123
355;3540;-4.309890;1.285356;9.184824;-0.739153;-0.156579;-0.355288
356;3550;-4.250902;1.189377;9.230265;-0.822207;-0.114487;-0.382370
